time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-3.00455445453e-07,-7.701452902e-08,10.0003567102,6.28300768768,0.000316640384975,0.0,-2.5585889744e-05,-9.77604316269e-06,0.0118901477056,-0.0096587846407,0.0141612625339,0.0,406.7091229520142,407.97519705329506,409.0654859561117,408.2046936521216
0.12000000000000001,-1.18812970041e-05,-5.86112195797e-06,10.004755449,6.28307659626,0.00105325023701,0.0,-0.000444344124614,-0.000203745094952,0.134727082741,0.0168901904492,0.00821320421885,0.0,444.58473146403577,444.0970849680219,442.7444925602432,444.9230523711349
0.18,-6.63220433826e-05,-1.58538166894e-05,10.0187805738,0.00120528815604,0.00208504120846,0.0,-0.00146412177471,8.02913967096e-06,0.332739489035,0.0303981704241,0.030880674963,0.0,466.01265437469175,467.7807661532316,466.5755787863284,467.628800073268
0.23999999999999996,-0.000205138634719,1.66819800976e-05,10.0418941667,0.00295107607362,0.00432528676248,0.0,-0.00337574370663,0.00125995847146,0.437677709098,0.02635744451,0.0478489285617,0.0,437.73041202694395,439.14061771428976,438.92976470777137,438.594612045205
0.3,-0.000512144875497,0.000162016708224,10.0720218182,0.00426347722737,0.00705068016742,0.0,-0.00715545322435,0.00374023579156,0.566519599107,0.0109202806112,0.0400690366596,0.0,446.9726451675914,446.33944216895657,446.3402686437014,445.07883997063766
0.36000000000000004,-0.00111213224635,0.00048591032908,10.1110506104,0.00456464205464,0.00987113832589,0.0,-0.0131391928395,0.00711373072915,0.734344269651,-0.0106662419457,0.0581551269154,0.0,457.5219021524162,458.960606787413,459.178933904434,457.46347612769017
0.4200000000000001,-0.00215842764707,0.00102174526856,10.1619779217,0.00388984061172,0.0129746882864,0.0,-0.0221405463784,0.0106671252232,0.963063941756,-0.0124336144035,0.0340177659079,0.0,478.42121458477664,476.58155761962314,475.73996441997326,475.60477139546725
0.48000000000000015,-0.00378330630847,0.00174524797027,10.2243107782,0.00330346364567,0.0147927555189,0.0,-0.0322332307274,0.0133765846488,1.11455945374,-0.00492181858553,0.0215801409944,0.0,453.963047098349,452.96432798942,454.0627845029773,454.66505956801626
0.5400000000000001,-0.00608422971991,0.00262752614136,10.2979328924,0.0033172743394,0.0157043647384,0.0,-0.0445993640867,0.0160168703807,1.33927284526,0.00893482351162,-0.00235255084482,0.0,477.14765014054984,475.31717703273927,475.4214235128744,476.48181907803
0.6000000000000002,-0.00910331463701,0.00366312706108,10.3824641993,0.00385544659229,0.0149881258488,0.0,-0.056008535496,0.0185604603779,1.47826779551,0.00903887637296,-0.0501152972086,0.0,453.26338787545194,449.4087804632574,450.4633604904914,450.4716513391688
0.6600000000000003,-0.0128979559915,0.00489561411175,10.4835360726,0.00444701385856,0.0123460107296,0.0,-0.0700559990383,0.0226041948799,1.89021379014,0.0114521084652,-0.0340335098677,0.0,528.0572553967647,529.164529471282,528.7830017944552,528.9490615581033
0.7200000000000003,-0.017370978455,0.00635696035851,10.601821045,0.00632179381619,0.01013790451,0.0,-0.0788061507474,0.0262660590085,2.05234370675,0.0550158283375,-0.0430080735629,0.0,459.9585133992412,459.2466672536689,457.90135880066606,461.35393850536366
0.7800000000000004,-0.022302463833,0.00807834601657,10.7282937354,0.00942365826862,0.00774748312947,0.0,-0.0853181894784,0.0314447704751,2.16320934067,0.0440648713505,-0.0341590297449,0.0,443.81976671703103,444.5445975484772,445.10962627043773,444.21426797010685
0.8400000000000004,-0.0275735836854,0.0101693431655,10.8610376491,0.012078296448,0.00564867658585,0.0,-0.090173730302,0.0385227562425,2.26139738127,0.0445996751208,-0.0366746346601,0.0,441.3402754744045,441.13207076766764,440.4930464425091,440.53839885100746
0.9000000000000005,-0.0330955295952,0.012746445117,11.0002031147,0.0144513461449,0.00383871041945,0.0,-0.0936834782769,0.0476438293886,2.37721542752,0.0268225753331,-0.0195849396733,0.0,446.28532021964924,447.6776470406173,447.3789679308984,445.9299698217979
0.9600000000000005,-0.0387930733848,0.0159152104557,11.1462084142,0.0159688884041,0.00274786407561,0.0,-0.0961165022426,0.0581406117828,2.48938818977,0.022041928501,-0.0155109388172,0.0,446.5522833140385,446.88454192978907,445.8501767360322,445.45953770790635
1.0200000000000005,-0.0446139025531,0.0197410404633,11.2986777607,0.0178553566846,0.00184579615744,0.0,-0.0978167911616,0.0695524490021,2.59269193804,0.0456085944024,-0.0140981895542,0.0,443.6603730788546,443.77645227421425,443.1638363770983,445.0970150245653
1.0800000000000005,-0.0505280329855,0.0243891519783,11.4624366871,0.0207544253866,0.00165419927655,0.0,-0.0992613016195,0.0857326251733,2.86528992417,0.0532482066844,0.0126535730743,0.0,494.2002221980765,496.1681296812543,493.8904947800316,494.45477879712485
1.1400000000000006,-0.0565214668072,0.0299658705476,11.6369477666,0.0243391612031,0.0018183466777,0.0,-0.100590350178,0.100494473441,2.95151859167,0.0703096693553,-0.0419075393771,0.0,443.0130458137711,438.50376077936914,439.42989796904664,440.8444399293474
1.2000000000000006,-0.0625788719844,0.0363943798156,11.8122563913,0.0285320829716,6.28266145897,0.0,-0.10113355648,0.11412286664,2.89224545791,0.069013207803,-0.033838644854,0.0,392.90862828083544,393.65501795380936,391.2217012999017,391.1054130350393
1.2600000000000007,-0.0686235501034,0.0440184419693,11.9946410417,0.0325112220502,6.28020891414,0.0,-0.10007180878,0.140521163007,3.18645360937,0.0603008259205,-0.0611697301219,0.0,503.3740276192054,501.39149532287064,502.31558077798417,501.68609294024003
